COdice;Ragione Sociale;Tipo soggetto;Ditta  AA7;Annotazioni;Titolare P.IVA;Partita iva;Codice FIscale;Indirizzi
100001;Gigaclub;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;9683366287;9683366287;0
100002;Buzzster;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;0062449397;0062449397;0
100003;Edgeify;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;5030584501;5030584501;0
100004;Mycat;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;2340382483;2340382483;0
100005;Skiptube;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;2794668773;2794668773;0
100006;Flashspan;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;3213965499;3213965499;0
100007;Devbug;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;2299711724;2299711724;0
100008;Meedoo;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;5371189041;5371189041;0
100009;Meejo;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;5981920580;5981920580;0
100010;Linklinks;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;4463110378;4463110378;0
100011;Zoombox;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;0202071863;0202071863;0
100012;Divanoodle;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;9229209341;9229209341;0
100013;Meedoo;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;1133562469;1133562469;0
100014;Jabbersphere;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;3518679287;3518679287;0
100015;Ailane;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;1488087849;1488087849;0
